principal_component,explained_variance_ratio
PC1,0.6506442177858675
PC2,0.1862075446325407
PC3,0.08346420499642708
PC4,0.03236435851247431
PC5,0.021533813559050485
PC6,0.012853172761981474
PC7,0.009187876137831426
PC8,0.0034191504849578483
PC9,0.00032566112886924973
