,recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca1_normalized,pca2_normalized,pca3_normalized,pca4_normalized,pca5_normalized,pca6_normalized,pca7_normalized,pca8_normalized,pca9_normalized
0,730,118,6.93,CALIFORNIA,-122.342,37.465,62.26012894506065,-0.7106783183106652,391.91,-0.7624895182897179,-0.8375754217602166,-1.0582184157897656,-1.281882109870604,-0.5352062448379946,0.3882561388264147,0.5963672316850562,0.6560360212508838,-0.0447713439053688,-1.1371126799645452,1.5068732386824262,-0.9601969028915177,-0.2313271403563426,0.19655112432511454,0.1776857244955911,-0.12804617932754156,-0.018691416615651053,-0.021273572177745465,-0.4714966890417598,1.158322119761227,-1.0981326115230166,-0.4239989615820128,0.44129262987021034,0.5139685769145019,-0.4522518655245771,-0.10830395296028682,-0.3986726077665123
1,732,118,6.93,CALIFORNIA,-122.082,37.657,70.63776482919508,-0.2513567201468771,271.06,0.5866228157675754,0.603084525314336,0.6919742641208592,0.8021303934398616,0.6707069315724946,0.7541010801275013,0.4046354217737998,-0.3738429576159946,1.2575055522752925,1.7507996065083626,-0.008693901737703904,0.32535379377657975,0.7775879163672155,-0.8798998147592885,-0.01621336014301948,0.2150962128317911,0.10212422437994016,0.011828513529610465,0.7259581501369305,-0.006682936846511564,0.37209202628428173,1.4252390297590978,-1.9755333611583046,-0.046898295647362476,0.7597076619647757,0.5917399103976668,0.22166960468371322
2,733,118,6.93,CALIFORNIA,-122.061,37.657,70.19622261790123,-0.2257981188918586,517.06,-0.3208682359601753,-0.392246095503223,-0.4282539754635139,-0.1161491319177818,0.7022259736025014,-0.0411464204367338,-0.3367952056950963,-0.2606933463303027,1.3394553438512664,-0.12276836141217497,0.5776366819135808,0.48363743913889856,1.397033233117197,-0.21040452489191724,-0.25954495865100835,0.2910011409429289,0.0790779841918954,-0.017348665703739993,-0.050905136267346406,0.4440249708270194,0.5531136816548404,2.560618867396173,-0.4723960061025318,-0.7507522251541485,1.0277995763120187,0.45820273852020343,-0.32511877834108394
3,734,118,6.93,CALIFORNIA,-122.313,37.484,62.25794119892371,-0.6573341859875885,415.27,-0.1978556440857538,-0.2827136357635355,-0.5101133674414237,-0.4881220727405878,0.3633724695636909,0.1671724522343388,0.7810850559834904,1.6069285164517946,0.8114052763322231,0.4199904819356704,1.870475045827109,-0.06536989840193966,-0.026694288300643118,0.7000817222720083,-0.27800176304455926,0.03470364482132337,-0.021008915543993652,-0.01815605338026988,0.17414643698098234,1.4378200929079936,-0.0747605173802841,-0.04892789709935661,1.5718093977140657,-0.8041398426201654,0.12257131132978691,-0.12173227142762892,-0.34024944599724005
4,735,118,6.93,CALIFORNIA,-122.32,37.47,61.42978846553719,-0.6808339232467935,449.64,-0.3280491015494612,-0.4216972648251735,-0.6698181480308051,-0.600869446335666,0.5335606885038755,0.1210329483348635,0.3500932702448706,1.0660286052686034,0.1687081574094521,-0.09383376721453016,1.1649656880975405,-0.39732463546278585,0.20060730160007717,0.8821072653467803,-0.1990054133858103,0.051159110974859624,-0.012746426620615125,-0.015571171265947942,-0.038907587032927696,0.8955003583885579,-0.45440173598693034,0.36769264269284535,1.9804894848050536,-0.5756372911022744,0.1806910873754014,-0.07385680911819767,-0.29180804251899467
5,736,118,6.93,CALIFORNIA,-121.952,37.397,40.01557933033833,-0.1535081300642913,239.69,-1.0097208427543551,-0.9510698650132632,-0.7337523167308196,-0.5569618111935184,-0.6888926395816227,-1.9860197671386624,-1.90769253615996,-0.2096699154345867,0.2213625652535479,-2.658926288474198,-0.2820672840093842,1.6713491387798234,0.4168146454419644,0.5597659962848204,-0.2120631858216702,-0.0005150255052652885,0.023268789612961093,0.006878736938131877,-1.102507221589305,-0.2168229987379179,1.9114444016722578,0.7639785654520677,1.256775352777178,-0.6134078252044601,-0.00181904096453478,0.13482669331626632,0.12890942669861946
6,737,118,6.93,CALIFORNIA,-122.303,37.785,90.5920086840413,-0.4208096052271585,190.0,1.885498488613861,1.938258009199639,1.8927437811724208,1.7011667060266753,0.040892157147043,1.7546240290047472,1.3498366722844293,1.8711448945706857,0.9501308094604356,4.335410987516918,0.6159730490616606,0.537388377795492,-1.2452172313912975,-0.33429307302985994,0.8827032728755513,-0.12460958640704231,-0.16162471832770184,0.01142688711618869,1.7976511582943813,0.47349384778294434,0.6145861342955746,-2.2823556813983803,-0.7505480818350705,2.5532819042470547,-0.4401140136378082,-0.9365045063692896,0.21414301496718827
7,740,118,6.93,CALIFORNIA,-121.984,37.047,9.02104396319262,-1.4926833450523134,476.54,-0.1040195648530791,0.1213607167687011,0.3961502780888306,0.3921028699075563,0.3010031951791627,0.4051601148476874,-0.1448101105121149,-0.7685495072301577,-2.604336891172826,-0.11469761398189374,-2.1301496363249135,-1.4598754531841447,-0.7260344486511742,0.6541873527301758,0.2999102234151439,0.24657703312864748,0.3022271737909257,0.13316127221804297,-0.047558651122542164,-1.6374299966425283,-1.6695917671425498,-1.3307468022414717,1.4687682825798152,0.8675116201280233,0.8708961392958987,1.751199402733591,2.4954789541273814
8,742,118,6.93,CALIFORNIA,-121.143,36.532,86.8821771265847,2.2741802096445363,304.08,0.0906156680156905,0.0865138938591969,0.20154265833982,0.8759055796962797,0.2157598489851823,0.2901300038202368,-1.0552109544168726,-0.8572478548895257,-0.507869004283892,0.048138351100714495,-1.486134386210814,0.1882645284609203,0.46479413596812796,-0.03318644305125539,0.6115703298120835,0.5454318201615995,-0.02315079595519027,0.0033862906603694893,0.01996026740342419,-1.14238031992056,0.21530939922152295,0.8519200587372485,-0.0745095342517722,1.7690106112292017,1.9264343495447973,-0.13414300091222867,0.0634600205807073
9,743,118,6.93,CALIFORNIA,-121.249,36.658,70.7102478862854,2.211747386647857,331.21,0.6081736993943473,0.548334161354666,0.3265533093110025,0.0050194178841885,0.6724282792725362,0.325916051108406,1.5903070760307114,0.6266088158076231,0.4733663634574885,1.6327768670117802,0.7877674604267966,-0.5158516382262748,-0.23801268314799268,-0.1116304678156134,-0.7917166723339478,-0.26878226372908415,-0.0447791837459325,-0.01668230312218222,0.6770207564337737,0.6055509190927988,-0.5899555652991366,-0.436252876954438,-0.25063048041643504,-2.290096700531848,-0.9493237582704767,-0.25946468958156005,-0.31263095984553424
